experiment,id,round,block,position,nPairs,isLastPair,outcomeA,outcomeB,spread,viewTime,choiceB,whichFirst,a3Col
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,6,11,0,1.8,2,0.2,8.722,1,B,NA
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,7,11,0,0.8,1,0.2,8.402,1,B,NA
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,8,11,0,1.6,1.8,0.2,6.881,1,B,NA
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,9,11,0,0,0.2,0.2,6.636,1,B,NA
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,10,11,0,0.2,0.4,0.2,6.8,1,B,NA
v17 (Record),6a3f3fac4afd73f8ae204164,1,single,11,11,1,0.6,0.8,0.2,7.805,1,B,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,1,11,0,1,1.2,0.2,9.115,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,2,11,0,1.6,1.8,0.2,2.696,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,3,11,0,0.4,0.6,0.2,2.683,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,4,11,0,0.8,1,0.2,4.882,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,5,11,0,0.2,0.4,0.2,1.84,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,6,11,0,0,0.2,0.2,1.317,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,7,11,0,0.6,0.8,0.2,1.238,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,8,11,0,1.8,2,0.2,1.537,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,9,11,0,2,0,2,1.525,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,10,11,0,1.4,1.6,0.2,2.268,1,A,NA
v17 (Record),fbb58418c8f3857804d2d0b3,1,single,11,11,1,1.2,1.4,0.2,3.23,1,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,1,11,0,1.8,2,0.2,16.6,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,2,11,0,0,0.2,0.2,11.538,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,3,11,0,0.2,0.4,0.2,5.687,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,4,11,0,1.2,1.4,0.2,5.401,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,5,11,0,2,0,2,3.828,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,6,11,0,1.6,1.8,0.2,4.628,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,7,11,0,0.4,0.6,0.2,8.784,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,8,11,0,1,1.2,0.2,5.3,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,9,11,0,0.8,1,0.2,7.083,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,10,11,0,0.6,0.8,0.2,5.765,0,A,NA
v17 (Record),e02064fa45ad1ee9deea6494,1,single,11,11,1,1.4,1.6,0.2,5.618,0,A,NA
v17 (Record),34a330cdbb9238e7e7fb7731,1,single,1,11,0,0.6,0.8,0.2,22.851,1,A,NA
v17 (Record),34a330cdbb9238e7e7fb7731,1,single,2,11,0,2,0,2,17.732,1,A,NA
