duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
967,02c577b3950ce55c4754041f,2,2,3,3,0.00,choice_first,2,1.8,45,10,45,45,10,45,2,B,0,1,1,51,Male,No,v13
420,0342ff77bbb5efdef6abf1d9,4,3,5,5,0.00,beliefs_first,1,.75,0,100,0,100,0,0,7,B,1,1,1,27,Female,Yes,v13
406,052e81d2562792492460ebe2,3,2,4,5,0.20,choice_first,2,0,0,50,50,100,0,0,4,B,1,1,1,28,Male,No,v13
575,0905c32e3e7f7217ca49cd3e,2,3,5,3,2.00,beliefs_first,1,1,45,10,45,45,10,45,2,B,1,1,1,30,Male,No,v13
402,0add3f48401fdc0107a46017,5,1,5,5,1.00,choice_first,1,1.25,40,20,40,30,30,40,5,B,1,1,1,32,Male,No,v13
275,0b80b6e00c54a0b016adab22,4,3,5,2,0.00,beliefs_first,.8,1.2,80,1,19,40,1,59,7,A,1,1,1,30,Female,No,v13
799,0e71407450879c293f9f31c3,4,3,4,3,0.00,beliefs_first,2,1,20,30,50,40,30,30,5,A,0,1,1,44,Male,Yes,v13
978,0e88e27fe93b24ddbbfed872,4,3,4,4,2.00,beliefs_first,1,1,100,0,0,100,0,0,6,B,0,1,1,33,Female,No,v13
785,102e1303d1d6b3809bb6cdf1,2,3,5,4,2.00,beliefs_first,1,.8,45,10,45,45,10,45,6,A,1,1,1,33,Female,No,v13
878,135364412d466de3e9b56763,3,5,4,4,0.00,beliefs_first,1,.8,40,.9,59.1,40,.9,59.1,4,B,1,1,1,34,Female,No,v13
1173,13ae43e976055239451bc6e3,5,4,3,2,1.20,choice_first,.8,1,45,10,45,45,10,45,5,A,0,1,1,23,Male,Yes,v13
608,17f6752864d858f9446f321a,3,3,3,4,0.00,choice_first,1,1,50,5,45,50,5,45,5,A,1,1,1,27,Female,No,v13
580,192a1fe195e4fab028336cae,2,4,4,3,2.00,beliefs_first,.8,1,50,5,45,40,10,50,6,B,1,1,1,34,Male,No,v13
842,193531650725818e7ec89dfc,4,4,5,5,2.00,beliefs_first,.8,1,55,10,35,45,10,45,6,B,1,1,1,30,Female,No,v13
336,197889547fdfd0f4c0a3ee84,4,4,5,5,0.80,choice_first,.75,1,50,10,40,30,10,60,5,B,1,1,1,27,Male,No,v13
403,1995ae47faf46a7bdbdd0bb3,5,2,3,4,2.00,beliefs_first,1,1,45,10,45,45,10,45,4,B,0,1,1,24,Male,Yes,v13
697,19e27021e2ae105b8b4004a5,2,2,4,5,0.00,beliefs_first,1,1,0,100,0,0,100,0,4,B,0,1,1,61,Male,No,v13
1519,1c5770778a84237df0857804,4,4,2,2,1.80,choice_first,.2,2,50,30,20,20,30,50,6,B,1,1,1,32,Male,No,v13
774,1e0acdb60849c99acd120fe2,2,2,5,4,0.00,beliefs_first,2,2,40,10,50,50,10,40,5,B,0,1,1,49,Female,DATA_EXPIRED,v13
788,1e2d915e273014585e736861,3,5,2,2,0.20,choice_first,1,1,40,30,30,30,40,30,6,A,1,1,1,29,Male,No,v13
351,25021cf434129cd9f52fec8e,4,3,4,4,0.00,beliefs_first,1,1,48,4,48,49,2,49,7,B,1,1,1,29,Female,No,v13
688,267d5dc38509f47114bf279d,4,3,4,2,0.40,choice_first,1.15,1.25,46,8,46,46,8,46,6,A,1,1,1,36,Male,No,v13
680,27cd1095d9b62396e297f711,5,4,5,5,2.00,beliefs_first,.18,.18,45,10,45,45,10,45,6,A,0,1,1,24,Male,No,v13
284,2abf372aa1e4d1de0cd46625,4,2,3,3,0.60,choice_first,1.8,2,20,30,50,10,50,40,5,A,0,1,1,30,Male,No,v13
649,2bb5126c6286cfbc1a8675fd,2,2,5,5,0.80,choice_first,.9,1.2,32,9,59,50,8,42,5,B,0,1,1,28,Male,No,v13
650,2edaf84e05a9b29d542b299b,4,4,4,4,0.20,choice_first,1,.9,45.5,9,45.5,45.5,9,45.5,6,B,1,1,1,35,Male,Yes,v13
1045,2f20c3b57cc011776ed9a0fc,4,1,5,5,0.00,beliefs_first,1,1,45,10,45,45,10,45,5,B,1,1,1,49,Female,No,v13
505,30b5362c5beecce35bce7e6c,2,1,5,5,0.00,beliefs_first,1,1.2,40,20,40,40,20,40,6,B,0,1,1,31,Female,No,v13
907,39c908fdb336a02182d0c62d,4,4,5,5,0.00,beliefs_first,2,2,40,20,40,40,20,40,7,A,1,1,1,43,Female,Yes,v13
391,416edb6648fd6678f41df28e,4,1,4,4,0.60,choice_first,2,1.9,0,0,100,10,0,90,6,A,1,1,1,40,Male,No,v13
479,423040c30978fe7a05ff353f,3,1,5,5,0.00,beliefs_first,.97,1.13,40,10,50,60,10,30,5,B,1,1,1,30,Female,No,v13
951,4505770772317a065e7d9de6,4,1,4,4,1.80,choice_first,2,2,0,0,100,0,0,100,7,B,0,1,1,25,Female,Yes,v13
729,463d30eabebfbb2bd140145a,4,1,4,3,0.00,beliefs_first,.9,1.1,50,20,30,70,10,20,5,A,1,1,1,45,Female,Yes,v13
874,497ce7c37fa7dd60930255a6,4,2,4,2,0.00,beliefs_first,1,.8,25,50,25,50,25,25,5,A,1,1,1,37,Male,No,v13
358,4c76026f6ff93b0b91dd45a6,2,1,4,4,0.00,choice_first,1,1.2,45,10,45,45,10,45,6,A,1,1,1,43,Female,No,v13
315,4f6733edd6bc198d320f30fb,5,3,4,5,0.00,beliefs_first,1,1,10,30,60,20,40,40,4,A,0,1,1,33,Female,No,v13
728,4fa629ca6e74caf4d8929605,3,2,4,4,1.20,choice_first,1.25,1,50,20,30,60,10,30,3,A,0,1,1,51,Female,No,v13
