experiment,id,round,block,position,nPairs,isLastPair,outcomeA,outcomeB,spread,viewTime,choiceB,whichFirst,a3Col
prereg,00dc6d2e8b094a2ef7195520,2,long,51,51,1,1.8,1.84,.039999999,1.68,1,,
prereg,02c7a6b646b2720b4209caea,1,short,1,11,0,1.6,1.8,.2,9.337999999999999,1,,
prereg,02c7a6b646b2720b4209caea,1,short,2,11,0,2,0,2,2.365,1,,
prereg,02c7a6b646b2720b4209caea,1,short,3,11,0,1.2,1.4,.2,2.214,1,,
prereg,02c7a6b646b2720b4209caea,1,short,4,11,0,.8,1,.2,1.573,1,,
prereg,02c7a6b646b2720b4209caea,1,short,5,11,0,1.8,2,.2,1.16,1,,
prereg,02c7a6b646b2720b4209caea,1,short,6,11,0,.6,.8,.2,1.042,1,,
prereg,02c7a6b646b2720b4209caea,1,short,7,11,0,0,.2,.2,1.415,1,,
prereg,02c7a6b646b2720b4209caea,1,short,8,11,0,.2,.4,.2,2.282,1,,
prereg,02c7a6b646b2720b4209caea,1,short,9,11,0,1,1.2,.2,1.431,1,,
prereg,02c7a6b646b2720b4209caea,1,short,10,11,0,.4,.6,.2,1.112,1,,
prereg,02c7a6b646b2720b4209caea,1,short,11,11,1,1.4,1.6,.2,1.166,1,,
prereg,02c7a6b646b2720b4209caea,2,long,1,51,0,1.48,1.52,.039999999,2.958,1,,
prereg,02c7a6b646b2720b4209caea,2,long,2,51,0,.4,.44,.039999999,2.921,1,,
prereg,02c7a6b646b2720b4209caea,2,long,3,51,0,.96,1,.039999999,2.712,1,,
prereg,02c7a6b646b2720b4209caea,2,long,4,51,0,.88,.92,.039999999,1.521,1,,
prereg,02c7a6b646b2720b4209caea,2,long,5,51,0,1.52,1.56,.039999999,1.027,1,,
prereg,02c7a6b646b2720b4209caea,2,long,6,51,0,.5600000000000001,.6,.039999999,2.412,1,,
prereg,02c7a6b646b2720b4209caea,2,long,7,51,0,1.76,1.8,.039999999,1.146,1,,
prereg,02c7a6b646b2720b4209caea,2,long,8,51,0,.84,.88,.039999999,1.241,1,,
prereg,02c7a6b646b2720b4209caea,2,long,9,51,0,1.8,1.84,.039999999,1.23,1,,
prereg,02c7a6b646b2720b4209caea,2,long,10,51,0,.28,.32,.039999999,1.131,1,,
prereg,02c7a6b646b2720b4209caea,2,long,11,51,0,.68,.72,.039999999,1.196,1,,
prereg,02c7a6b646b2720b4209caea,2,long,12,51,0,1.68,1.72,.039999999,.831,1,,
prereg,02c7a6b646b2720b4209caea,2,long,13,51,0,.36,.4,.039999999,1.074,1,,
prereg,02c7a6b646b2720b4209caea,2,long,14,51,0,.92,.96,.039999999,.878,1,,
prereg,02c7a6b646b2720b4209caea,2,long,15,51,0,.2,.24,.039999999,1.029,1,,
prereg,02c7a6b646b2720b4209caea,2,long,16,51,0,1.2,1.24,.039999999,1.18,1,,
prereg,02c7a6b646b2720b4209caea,2,long,17,51,0,1.96,2,.039999999,1.082,1,,
prereg,02c7a6b646b2720b4209caea,2,long,18,51,0,1.28,1.32,.039999999,2.25,1,,
prereg,02c7a6b646b2720b4209caea,2,long,19,51,0,.08,.12,.039999999,1.037,1,,
prereg,02c7a6b646b2720b4209caea,2,long,20,51,0,.32,.36,.039999999,.648,1,,
prereg,02c7a6b646b2720b4209caea,2,long,21,51,0,1.36,1.4,.039999999,1.152,1,,
prereg,02c7a6b646b2720b4209caea,2,long,22,51,0,1.12,1.16,.039999999,.783,1,,
prereg,02c7a6b646b2720b4209caea,2,long,23,51,0,.44,.48,.039999999,.877,1,,
prereg,02c7a6b646b2720b4209caea,2,long,24,51,0,1.56,1.6,.039999999,1.072,1,,
prereg,02c7a6b646b2720b4209caea,2,long,25,51,0,1,1.04,.039999999,3.193,1,,
prereg,02c7a6b646b2720b4209caea,2,long,26,51,0,1.16,1.2,.039999999,1.019,1,,
prereg,02c7a6b646b2720b4209caea,2,long,27,51,0,.64,.68,.039999999,.737,1,,
prereg,02c7a6b646b2720b4209caea,2,long,28,51,0,.16,.2,.039999999,.6919999999999999,1,,
prereg,02c7a6b646b2720b4209caea,2,long,29,51,0,.72,.76,.039999999,1.129,1,,
prereg,02c7a6b646b2720b4209caea,2,long,30,51,0,1.44,1.48,.039999999,.958,1,,
prereg,02c7a6b646b2720b4209caea,2,long,31,51,0,.12,.16,.039999999,.709,1,,
prereg,02c7a6b646b2720b4209caea,2,long,32,51,0,.76,.8,.039999999,.762,1,,
prereg,02c7a6b646b2720b4209caea,2,long,33,51,0,.6,.64,.039999999,.859,1,,
prereg,02c7a6b646b2720b4209caea,2,long,34,51,0,1.32,1.36,.039999999,1.118,1,,
prereg,02c7a6b646b2720b4209caea,2,long,35,51,0,.48,.52,.039999999,1.112,1,,
prereg,02c7a6b646b2720b4209caea,2,long,36,51,0,1.84,1.88,.039999999,.925,1,,
prereg,02c7a6b646b2720b4209caea,2,long,37,51,0,0,.04,.039999999,1.115,1,,
prereg,02c7a6b646b2720b4209caea,2,long,38,51,0,2,0,2,1.067,1,,
prereg,02c7a6b646b2720b4209caea,2,long,39,51,0,.04,.08,.039999999,1.063,1,,
prereg,02c7a6b646b2720b4209caea,2,long,40,51,0,.52,.5600000000000001,.039999999,.826,1,,
prereg,02c7a6b646b2720b4209caea,2,long,41,51,0,1.64,1.68,.039999999,.727,1,,
prereg,02c7a6b646b2720b4209caea,2,long,42,51,0,1.24,1.28,.039999999,.776,1,,
prereg,02c7a6b646b2720b4209caea,2,long,43,51,0,1.92,1.96,.039999999,.961,1,,
prereg,02c7a6b646b2720b4209caea,2,long,44,51,0,.8,.84,.039999999,1.236,1,,
prereg,02c7a6b646b2720b4209caea,2,long,45,51,0,1.72,1.76,.039999999,1.002,1,,
prereg,02c7a6b646b2720b4209caea,2,long,46,51,0,1.88,1.92,.039999999,.6840000000000001,1,,
prereg,02c7a6b646b2720b4209caea,2,long,47,51,0,1.08,1.12,.039999999,.768,1,,
prereg,02c7a6b646b2720b4209caea,2,long,48,51,0,1.04,1.08,.039999999,.64,1,,
prereg,02c7a6b646b2720b4209caea,2,long,49,51,0,1.6,1.64,.039999999,.802,1,,
prereg,02c7a6b646b2720b4209caea,2,long,50,51,0,1.4,1.44,.039999999,.752,1,,
prereg,02c7a6b646b2720b4209caea,2,long,51,51,1,.24,.28,.039999999,.735,1,,
prereg,02e718572c3227791c87f4d0,1,short,1,11,0,1.6,1.8,.2,3.793,1,,
prereg,02e718572c3227791c87f4d0,1,short,2,11,0,.2,.4,.2,2.424,1,,
prereg,02e718572c3227791c87f4d0,1,short,3,11,0,1.2,1.4,.2,.969,1,,
prereg,02e718572c3227791c87f4d0,1,short,4,11,0,1.8,2,.2,1.071,1,,
prereg,02e718572c3227791c87f4d0,1,short,5,11,0,.8,1,.2,.801,1,,
prereg,02e718572c3227791c87f4d0,1,short,6,11,0,1.4,1.6,.2,.749,1,,
prereg,02e718572c3227791c87f4d0,1,short,7,11,0,.6,.8,.2,.8149999999999999,1,,
prereg,02e718572c3227791c87f4d0,1,short,8,11,0,1,1.2,.2,.92,1,,
prereg,02e718572c3227791c87f4d0,1,short,9,11,0,.4,.6,.2,.629,1,,
prereg,02e718572c3227791c87f4d0,1,short,10,11,0,0,.2,.2,.849,1,,
prereg,02e718572c3227791c87f4d0,1,short,11,11,1,2,0,2,.99,1,,
prereg,02e718572c3227791c87f4d0,2,long,1,51,0,.08,.12,.039999999,1.849,1,,
prereg,02e718572c3227791c87f4d0,2,long,2,51,0,1.56,1.6,.039999999,.743,1,,
prereg,02e718572c3227791c87f4d0,2,long,3,51,0,1.72,1.76,.039999999,.677,1,,
prereg,02e718572c3227791c87f4d0,2,long,4,51,0,1.76,1.8,.039999999,.553,1,,
prereg,02e718572c3227791c87f4d0,2,long,5,51,0,1.96,2,.039999999,.586,1,,
prereg,02e718572c3227791c87f4d0,2,long,6,51,0,1.44,1.48,.039999999,.961,1,,
prereg,02e718572c3227791c87f4d0,2,long,7,51,0,.72,.76,.039999999,.601,1,,
prereg,02e718572c3227791c87f4d0,2,long,8,51,0,.84,.88,.039999999,.444,1,,
