id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
db44846e3d83c45fe22d8664,3.52,1.517,1.069,.788,1.335,1.101,.614,.524,.778,.819,.502,v21
dc6324023b33d485749692bf,10.455,4.437,2.585,2.768,2.501,2.174,2.822,2.201,1.7,3.946,2.347,v21
dc6af1581988d6a86aa4a75b,14.999,14.201,4.101,6.963,6.319,3.4,2.584,3.33,9.026999999999999,3.3,4.137,v21
e01ec8af40bc925b71a876d6,40.961,4.054,1.439,1.778,1.675,1.44,2.401,2.731,2.503,1.664,4.734,v21
e032b1868874a70b3a83f2bb,8.449999999999999,4.225,2.095,1.058,1.2,1.377,4.04,1.961,1.019,1.456,1.297,v21
e20c13320fcd8fbf712dfe59,12.036,4.584,3.333,1.884,4.435,2.069,1.859,1.891,3.063,2.279,2.201,v21
e2815d0677933d925dfcc6da,33.972,3.364,2.6,2.521,2.091,1.977,1.369,2.201,1.2,2.287,.6,v21
e2b18681a1064f96f492bda7,6.36,3.279,.953,.907,.791,1.405,.9399999999999999,.642,.6929999999999999,.504,.705,v21
e33fbbe923c821ccfdd92360,15.568,1.496,.95,1.288,2.558,3.805,2.507,.973,.997,.801,.573,v21
e5aab10d55ee0fab28e3125c,37.025,9.346,93.60299999999999,10.54,10.985,14.794,9.630000000000001,10.432,9.808,22.623,10.921,v21
e9230c547a682c28fb4d256f,6.831,2.326,1.786,1.755,.9399999999999999,1.433,.706,.962,1.562,1.027,.8159999999999999,v21
edbfa03eea2e34864385c717,6.075,5.193,4.731,4.13,4.925,4.264,4.661,7.69,3.859,3.5,3.355,v21
ee20451a06a37ab676bf6a69,7.069,2.378,2.546,1.56,2.338,4.903,3.022,2.291,1.486,1.734,1.538,v21
eee966cdab43aa4ce9e003ac,3.251,2.692,2.02,3.646,1.885,.956,2.199,.972,.762,.912,.8179999999999999,v21
ef60ac205f1fa4bbccb377c9,10.694,2.769,1.249,2.128,1.28,.913,1.348,1.064,1.008,1.388,.987,v21
f1c6ff6df70819242dc9859f,19.196,3.285,1.473,.463,1.077,.947,.511,.49,.181,.467,.191,v21
f22ed1565e57c6a5853075bb,4.487,4.628,3.207,1.663,.927,1.188,1.691,1.043,4.266,3.955,1.755,v21
f44273de2d1bd4abef539772,9.218,7.321,2.89,1.145,2.827,2.2,1.59,1.315,1.941,2.879,2.529,v21
f53d608761302ed3bf4f5c72,6.601,2.713,1.659,.962,.963,.649,.7,1.586,3.542,.891,.87,v21
