id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
95e50d5559d86e46491a487c,3.795,8.186,1.44,2.263,1.135,1.959,0.917,3.237,9.194,10.932,2.855,v27
12a858bc52d2dd8b651b9038,19.222,8.929,7.69,7.16,6.261,5.398,6.128,3.413,5.76,10.648,4.274,v27
34ff11e093d60db856a97d11,35.696,34.746,25.074,15.965,17.411,17.547,24.564,15.784,22.1,18.704,17.696,v27
3eba7448e5d3ea2cec7e66b1,11.742,5.598,4.248,5.668,2.927,3.352,6.8,7.351,4.429,3.932,3.147,v27
ce978be9d4a2461bec6f95f5,12.691,7.078,2.268,1.383,0.905,0.726,0.75,0.595,0.787,0.68,0.767,v27
b24536a8f15614c578f8a053,30.391,19.96,22.567,8.869,13.635,8.646,9.657,18.857,8.485,7.702,9.749,v27
499fbbc8cc8bbd2f146f6698,24.53,3.993,3.968,2.497,1.711,2.08,2.072,2.054,3.672,3.798,1.972,v27
d79d1a9b1a4e2ff8d1dc49ae,18.064,4.88,3.01,2.363,2.032,2.317,0.277,1.772,1.955,2.194,2.11,v27
b540c42da84c1e1a84b63528,8.503,3.701,3.738,2.1,3.681,1.615,2.194,1.071,1.748,1.738,1.737,v27
d5239dbebe85b86f10602b0e,18.097,41.041,6.851,6.889,6.401,5.774,6.864,7.122,6.443,8.105,9.263,v27
b316301c478d3763917c69ae,15.501,10.235,5.369,3.471,2.443,2.765,1.634,1.454,1.373,2.28,1.187,v27
84c1c05ae280ac211b6b0c0a,14.041,6.469,1.843,1.71,2.237,1.293,1.224,1.459,0.977,1.475,1.773,v27
33d857db5303ea1a644345a1,7.99,7.934,2.565,4.566,2.89,2.32,4,2.125,2.201,1.941,1.997,v27
41157ce9b7ceb51b36667da7,20.1,14.173,5.184,3.601,7.348,3.14,3.239,4.289,3.567,3.861,2.847,v27
407b2dc34bad6c3b369ce8f6,12.074,1.393,0.762,6.213,2.452,0.622,0.756,4.519,0.544,4.502,0.447,v27
dd21efd3dd3bf5eef7e2d742,2.254,235.975,0.717,1.244,0.637,1.115,0.536,0.467,0.461,0.486,1.075,v27
f5e131a6a9d35c59ac6b37f5,27.801,25.805,14.505,5.462,2.657,1.665,0.806,8.123,1.702,1.201,3.674,v27
5db6a4777e177112f312e1fd,9.635,6.111,4.423,39.517,0.917,0.58,0.511,0.8,0.896,0.562,0.75,v27
7396af40932f274c41584167,16.448,8.146,8.48,6.493,6.71,6.693,7.72,5.446,9.694,6.7,23.361,v27
9fe258624f90d0cffae47927,21.086,36.455,3.862,212.719,14.302,10.773,12.702,26.739,10.35,13.292,11.277,v27
5bf269a6a9ad950e14f14d4c,4.87,4.663,3.981,1.833,2.204,1.401,1.6,1.362,1.4,2.119,1.459,v27
2d5eb45311ed0fb561e8036e,112.006,4.596,1.242,0.852,3.761,0.803,0.578,0.562,0.435,0.342,0.579,v27
cadb475f2cc8d18470ede4ee,70.695,28.88,19.901,16.113,20.313,51.181,12.979,12.758,14.898,19.092,23.494,v27
ad439c05f0e03e72d04e9b74,202.681,48.236,28.783,157.706,24.984,27.578,27.546,33.135,23.625,69.346,19.671,v27
63712eb4128d996d77a0961f,13.785,15.116,6.228,5.14,4.628,4.482,7.845,3.627,3.879,3.606,3.794,v27
8ca8b91130236c20948471f9,23.037,11.317,7.138,4.341,5.855,4.636,3.778,4.553,5.94,2.777,5.202,v27
4e3d4fb3964bce1223a78d38,12.587,6.116,4.458,2.246,1.649,1.296,1.893,1.889,1.493,1.681,1.525,v27
9e9239e01531186aa09d0c86,12.079,6.629,5.677,4.07,5.914,4.853,5.523,4.806,3.445,4.618,7.258,v27
eec332916fd9b027f58201ed,20.706,13.635,3.619,4.601,4.188,5.335,3.122,4.798,2.383,2.855,4.592,v27
8e20cfda8c6c380ee3b442d3,2.828,3.784,16.481,7.415,2.869,0.719,3.532,0.601,0.779,1.249,1.228,v27
